,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
395,Bima,80.47,77.0,4.25,1648759.0,ID,118.7167,-8.4667,39.0
396,Cherskiy,37.72,73.0,14.14,2126199.0,RU,161.3,68.75,100.0
397,Adrar,86.95,25.0,17.85,2381972.0,MR,-10.0711,20.5022,26.0
398,Egvekinot,30.51,95.0,1.79,4031742.0,RU,-179.1667,66.3167,89.0
399,Comodoro Rivadavia,44.46,45.0,6.91,3860443.0,AR,-67.5,-45.8667,0.0
400,Volchikha,73.0,22.0,9.24,1486983.0,RU,80.3833,52.0333,94.0
401,Paita,74.43,79.0,12.62,3694112.0,PE,-81.1144,-5.0892,100.0
402,Calama,36.09,27.0,21.85,3897347.0,CL,-68.9333,-22.4667,0.0
403,Abalak,86.68,28.0,7.92,1512223.0,RU,68.5944,58.1286,96.0
404,Atar,85.8,21.0,20.87,2381334.0,MR,-13.0499,20.5169,65.0
405,Venado Tuerto,41.77,75.0,7.0,3833062.0,AR,-61.9688,-33.7456,100.0
406,Ostrovnoy,58.19,42.0,19.35,556268.0,RU,39.5131,68.0531,100.0
407,Praia,77.54,61.0,18.41,3374333.0,CV,-23.5087,14.9215,20.0
408,Campoverde,72.75,98.0,1.1,3733380.0,PE,-74.8058,-8.4753,100.0
409,Peebles,58.95,62.0,1.99,2640526.0,GB,-3.1888,55.6519,66.0
410,Ngunguru,61.0,94.0,8.88,2186111.0,NZ,174.5,-35.6167,13.0
411,Haines Junction,35.55,64.0,3.44,5969025.0,CA,-137.5108,60.7522,36.0
412,Chernyshevsk,68.25,21.0,10.6,2025458.0,RU,117.0174,52.5243,90.0
413,Makiyivka,68.94,70.0,11.92,702320.0,UA,37.9258,48.0478,91.0
414,Petropavlovsk-Kamchatskiy,40.78,100.0,5.44,2122104.0,RU,158.6483,53.0452,100.0
415,Los Llanos de Aridane,66.13,68.0,3.44,2514651.0,ES,-17.9182,28.6585,20.0
416,Nuevo Progreso,74.89,77.0,2.73,3522526.0,MX,-97.95,23.1667,52.0
417,Norsup,76.39,73.0,8.46,2135517.0,VU,167.3833,-16.0667,12.0
418,Yulara,60.6,29.0,7.87,6355222.0,AU,130.9889,-25.2406,7.0
419,Hohhot,80.89,19.0,8.95,2036892.0,CN,111.6522,40.8106,75.0
420,Bowen,66.61,54.0,10.18,2174444.0,AU,148.2333,-20.0167,0.0
421,Smoky Lake,48.24,93.0,0.0,6150293.0,CA,-112.4686,54.1169,4.0
422,Angoram,76.62,95.0,2.3,2100765.0,PG,144.0661,-4.0625,68.0
423,Itarema,75.25,92.0,7.52,3393692.0,BR,-39.9167,-2.9248,92.0
424,La Asuncion,87.53,74.0,9.22,3480908.0,VE,-63.8628,11.0333,100.0
425,Berlevåg,46.62,71.0,3.44,780687.0,NO,29.0864,70.8578,100.0
426,Ambilobe,87.75,46.0,2.28,1082243.0,MG,49.05,-13.2,2.0
427,Teya,69.28,26.0,6.6,1489656.0,RU,92.6267,60.3778,90.0
428,Máncora,78.08,76.0,0.67,3695000.0,PE,-81.0475,-4.1078,87.0
429,Crotone,76.95,50.0,10.36,2524881.0,IT,17.1178,39.0851,0.0
430,Sechura,74.35,77.0,13.56,3691954.0,PE,-80.8222,-5.5569,97.0
431,Tarko-Sale,55.87,62.0,9.01,1490085.0,RU,77.785,64.9225,100.0
432,Yerofey Pavlovich,64.67,25.0,1.48,2012938.0,RU,121.9667,53.9667,93.0
433,Doha,106.09,18.0,13.8,290030.0,QA,51.5333,25.2867,0.0
434,Palmer,54.14,88.0,3.44,4946620.0,US,-72.3287,42.1584,0.0
435,Darhan,74.05,22.0,3.47,2031964.0,MN,105.9228,49.4867,100.0
436,Rantauprapat,94.42,42.0,1.5,1214073.0,ID,99.8333,2.1,27.0
437,Arroyo de la Encomienda,65.05,58.0,11.5,3129371.0,ES,-4.7969,41.6096,0.0
438,Keetmanshoop,55.69,41.0,13.11,3356264.0,NA,18.1333,-26.5833,0.0
439,Staryy Nadym,59.88,57.0,19.91,1490918.0,RU,72.6842,65.6118,100.0
440,Beloha,82.92,40.0,2.53,1067565.0,MG,45.05,-25.1667,0.0
441,Kelvington,56.05,92.0,4.68,5990669.0,CA,-103.5343,52.1667,100.0
442,Munger,105.15,17.0,7.0,1262482.0,IN,86.4667,25.3833,0.0
443,Grindavik,48.67,93.0,21.85,3416888.0,IS,-22.4338,63.8424,100.0
444,Kangaatsiaq,23.16,78.0,11.77,3422683.0,GL,-53.4641,68.3065,71.0
445,Omsukchan,42.33,88.0,7.78,2122493.0,RU,155.8,62.5333,98.0
446,Quzhou,92.08,66.0,4.0,1797264.0,CN,118.8686,28.9594,19.0
